region,gender_m,gender_f,age_<19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_>70,no_education,early_childhood,elementary,high_school,post_secondary,short-cycle_tertiary,college,post_baccalaureate,below_poverty_line,low_income,middle_income,high_income,urban,rural,total_pop
NCR,0.4979455817342733,0.5020544182657267,0.10886509803868027,0.2500000731402697,0.21171816343027475,0.15869809929893589,0.11471534440924068,0.06833544156097329,0.08766778012162545,0.0023356758927292757,0.00012493558331649456,0.08077632699916809,0.43901992268242684,0.013746631256549438,0.01929686873224766,0.43718006552613214,0.007519573327430041,0.007879037641248839,0.1975561139893578,0.7778949788770704,0.016669869492323006,1.0,0.0,0.1233451341820353
CAR,0.5122105095077328,0.4877894904922671,0.12992193112976164,0.242831056749671,0.19080093093885211,0.14060994857102052,0.11141755405580678,0.07384408668748697,0.11057449186740097,0.01956568965396418,0.0003402660927563812,0.18125048178408443,0.3781711125766864,0.022009843578820656,0.02570916670624758,0.3630358898970559,0.0099175497103845,0.06910579765655024,0.39043535623719067,0.5333413170303536,0.007117529075905631,0.32239864934426005,0.6776013506557399,0.016482651506400152
R1,0.5065430001377473,0.4934569998622526,0.12202015954775337,0.21498626635675935,0.17906441867074685,0.14846326274766306,0.1191982413928698,0.08061945446971201,0.13564819681449555,0.005668311194643809,0.000304617236421548,0.158934637542476,0.49635436839082314,0.015501133662238929,0.024812434512578075,0.29385471052379897,0.004569786937019528,0.09002209726972163,0.4118193552339355,0.48956706061805033,0.008591486878292635,0.24278882449592773,0.7572111755040722,0.048701950967783306
R2,0.5094055353790531,0.49059446462094686,0.12316046136385732,0.22578753175179453,0.18399819950009064,0.1526646579602145,0.12033578468642064,0.08004532587588302,0.11400803886173934,0.012487267341336846,0.0005931404245632703,0.24312531915194288,0.4046069403922518,0.012806180576694432,0.021324410382898305,0.2994060575181981,0.005650684212114349,0.10573693533789608,0.471369186857916,0.4161482319481325,0.006745645856055394,0.21955029816187735,0.7804497018381227,0.03386259438383724
R3,0.5063281155968556,0.49367188440314436,0.1232473227561026,0.23557628968814107,0.18948151978825006,0.1543669145865521,0.11804329358744693,0.07327388560097046,0.10601077399253674,0.0058473168992824376,0.0003866259967916463,0.17592572102824627,0.4800070675048761,0.012459745090554987,0.02836025516857157,0.2939576387700111,0.0030556295416658877,0.032107662133616384,0.33072789724684176,0.6330420915323657,0.004122349087176123,0.6755929049657982,0.3244070950342019,0.11399786593990599
CALABARZON,0.5027331244497288,0.49726687555027116,0.11114056959760212,0.2213749316394275,0.20543589966898138,0.16919651814297532,0.12299255786400219,0.08453509594369493,0.08532442714331658,0.004872245416521201,0.00023125810441622542,0.13801684765564173,0.4797254839523925,0.01091249726665161,0.025359527663409206,0.3370949278234276,0.00378721211753997,0.046902417816506746,0.31023967348674913,0.6302123439009523,0.012645564795791866,0.6943289381154611,0.30567106188453896,0.14852497642730556
MIMAROPA,0.51017359283277,0.4898264071672301,0.14638108456094628,0.23568265457629567,0.18024750199274006,0.14593820537916558,0.11117305460778161,0.07210107679326062,0.10847642208981019,0.03051349955862023,0.0005797157773373234,0.2646923018556457,0.4300269639549108,0.010586174542103189,0.020420522956374653,0.23969188545963643,0.003488935895371712,0.20570233403603244,0.4890585714236833,0.29771963602880713,0.007519458511477085,0.3306238294211009,0.669376170578899,0.02956082093813853
R5,0.5073553431597962,0.49264465684020375,0.15514038204010264,0.22555568060781925,0.1699485895386247,0.14154758933799738,0.11395072956345031,0.07521660644351595,0.11864042246848974,0.007505001076228594,0.0004232162326379743,0.2629793419301169,0.45112191186365164,0.017062111685935924,0.018470741885261488,0.23794962648094323,0.004488048845224279,0.17321855003434222,0.5091674807903452,0.31267545456022305,0.004938514615089359,0.2582708578808103,0.7417291421191897,0.055833763692272366
R6,0.5076864006184041,0.49231359938159586,0.12213057449970258,0.2188264823444452,0.17860843015152147,0.14295517352643558,0.11694321950748389,0.08212187128906293,0.13841424868134836,0.010436084968807493,0.00040969103230655154,0.21690170214690305,0.42345722524141804,0.015873329203523308,0.03850377891973645,0.29037834419502084,0.004039844292284314,0.12803623163646435,0.4358203242840371,0.4270088448395545,0.00913459923994402,0.21144594579790293,0.7885540542020971,0.04342847536580157
NIR,0.5082974960359194,0.49170250396408055,0.13094469550247473,0.2243010711745189,0.17712571920769893,0.14323375050697185,0.1193170836960742,0.08193039875245986,0.12314728115980156,0.011015955373991604,0.0003737142801754985,0.23284966472515936,0.4246473004169194,0.00989068408560534,0.02468093829208984,0.29284785897796506,0.0036938838480939404,0.24358753104417596,0.47548455836475007,0.27583081786826386,0.005097092722810101,0.33301873284458366,0.6669812671554163,0.04274373233842389
R7,0.5068583112323745,0.49314168876762554,0.13004801380778602,0.24042033961780276,0.18929082445752946,0.14600451439701861,0.10997665458349701,0.07220775995945591,0.11205189317691022,0.011595942120474202,0.0003375401973568807,0.24880554758086915,0.42583819938822637,0.00390505281516604,0.01085119917439104,0.2953187663193055,0.00334775240421085,0.11690171801648853,0.40573942716715955,0.47140033233510575,0.0059585224812461314,0.5762886172853698,0.42371138271463016,0.06089920933985477
R8,0.5122731662191339,0.48772683378086606,0.1446795794455623,0.22421354951651257,0.166188094140928,0.14123803543455132,0.11585592928349155,0.07867017794783822,0.129154634231116,0.01799582900901314,0.000400402039005641,0.29970010771240463,0.40876792069224044,0.0036648409032127107,0.010169491525423728,0.25366893331980106,0.005632474798898649,0.21966221551148132,0.4803362435729889,0.2950928226291966,0.004908718286333194,0.1476029511371409,0.8523970488628592,0.04170088625674667
R9,0.5090372051070422,0.4909627948929578,0.14503113771578693,0.24297151136837639,0.18020468200013173,0.14536337092300824,0.11155827619263671,0.07194605235234283,0.10292496944771717,0.029185505608632378,0.0002955919316288443,0.2857272830571937,0.393302441308211,0.0034897028969180736,0.011189150331340204,0.273251116865023,0.003559208001052729,0.2542960712782039,0.47801243683732725,0.26182176824673514,0.005869723637733729,0.34397705300803794,0.6560229469919621,0.03554516524389092
R10,0.5101931028368157,0.4898068971631843,0.14073799697607595,0.2439310900280151,0.188339526461582,0.1459635893484185,0.11161054284603823,0.07113298301345489,0.0982842713264153,0.014341013703721631,0.0003316428511246278,0.24178048589561796,0.4436141422072595,0.010318574330126257,0.010118991064764769,0.27564630021027947,0.0038488497371058157,0.18319364000128738,0.46446158851128544,0.3451518932184898,0.007192878268937313,0.49601921866813276,0.5039807813318673,0.046083871077636666
R11,0.5128402646195243,0.48715973538047574,0.13058041979688534,0.24011852989768717,0.1962241155246779,0.15062903426359786,0.11132167236703555,0.07257778918026439,0.09854843896985178,0.01730847666675333,0.00041597372656269,0.2319447694239183,0.4469455982962969,0.018769696202199013,0.01396251595893825,0.2671661146907775,0.003486855034554054,0.16277831605038648,0.4516469936679358,0.3795809467604981,0.005993743521179788,0.6524961526575077,0.3475038473424923,0.04807163106481144
R12,0.5113835211533322,0.48861647884666776,0.1435630684131719,0.24943475777842244,0.1952118324905652,0.1514985748610961,0.10744903388461254,0.06403921180907432,0.08880352076305749,0.0369208099580148,0.0004052200048543773,0.23965888531791868,0.4387000597329404,0.008714467937870856,0.023828106844499836,0.24803595682014187,0.0037364933837591816,0.26329501636485886,0.43857768824426535,0.29249304502056406,0.005634250370311678,0.5691981966801013,0.43080180331989865,0.04004685210768089
CARAGA,0.5131365057560082,0.4868634942439918,0.1434141510962909,0.23334177542676765,0.18028049227151954,0.14179991049068058,0.1158962306465834,0.07457474399888585,0.11069269606927208,0.012695845257123169,0.0003807105249445152,0.25786970129111914,0.4455376579071343,0.00471953438464737,0.017164408457728902,0.257931380649909,0.003700761527393611,0.22445937136026733,0.6080233410784973,0.1672426834518992,0.0002746041093362262,0.27204281936635477,0.7279571806336452,0.025723898643308072
BARMM,0.5011411269608279,0.4988588730391721,0.18397657969940906,0.30246602935857875,0.20396207285495638,0.14755346295554478,0.07691412176221256,0.037708737186571306,0.04741899618272719,0.1423020665604911,0.0006437259546582335,0.31126976963882164,0.3435315725982753,0.0006851660324812949,0.0014518074722079308,0.19893414715090685,0.0011817445921576408,0.24733151767736583,0.43506126510414617,0.31042006462874194,0.0071871525897459505,0.6315478053167597,0.36845219468324025,0.04544652052416665
